obs,F182013_sum,F182013_mean,F152006_sum,F152006_mean,F152004_sum,F152004_mean,F162007_sum,F162007_mean,F152005_sum,F152005_mean,F152002_sum,F152002_mean,F142002_sum,F142002_mean,F182011_sum,F182011_mean,F182012_sum,F182012_mean,F152007_sum,F152007_mean,F162006_sum,F162006_mean,F162009_sum,F162009_mean,F162004_sum,F162004_mean,F142001_sum,F142001_mean,F142000_sum,F142000_mean,F101992_sum,F101992_mean,F182010_sum,F182010_mean,F142003_sum,F142003_mean,F121995_sum,F121995_mean,F152001_sum,F152001_mean,F152003_sum,F152003_mean,F162005_sum,F162005_mean,F152000_sum,F152000_mean,F162008_sum,F162008_mean
5988,27.0,27.0,27.0,27.0,16.0,16.0,28.0,28.0,28.0,28.0,18.0,18.0,25.0,25.0,32.0,32.0,21.0,21.0,22.0,22.0,24.0,24.0,29.0,29.0,29.0,29.0,21.0,21.0,19.0,19.0,17.0,17.0,40.0,40.0,22.0,22.0,26.0,26.0,21.0,21.0,20.0,20.0,21.0,21.0,29.0,29.0,26.0,26.0
5989,11.0,11.0,15.0,15.0,11.0,11.0,12.0,12.0,17.0,17.0,9.0,9.0,13.0,13.0,17.0,17.0,14.0,14.0,13.0,13.0,12.0,12.0,19.0,19.0,19.0,19.0,10.0,10.0,11.0,11.0,9.0,9.0,23.0,23.0,7.0,7.0,12.0,12.0,13.0,13.0,12.0,12.0,9.0,9.0,19.0,19.0,11.0,11.0
5982,15.0,15.0,11.0,11.0,11.0,11.0,15.0,15.0,8.0,8.0,13.0,13.0,8.0,8.0,11.0,11.0,16.0,16.0,12.0,12.0,15.0,15.0,13.0,13.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,17.0,17.0,11.0,11.0,8.0,8.0,10.0,10.0,8.0,8.0,12.0,12.0,11.0,11.0,18.0,18.0
5983,28.0,28.0,18.0,18.0,18.0,18.0,29.0,29.0,15.0,15.0,23.0,23.0,11.0,11.0,19.0,19.0,27.0,27.0,21.0,21.0,23.0,23.0,23.0,23.0,13.0,13.0,16.0,16.0,18.0,18.0,13.0,13.0,30.0,30.0,17.0,17.0,12.0,12.0,19.0,19.0,15.0,15.0,22.0,22.0,14.0,14.0,29.0,29.0
5980,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,8.0,8.0,9.0,9.0,12.0,12.0,11.0,11.0,8.0,8.0,8.0,8.0,9.0,9.0,17.0,17.0,7.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,13.0,13.0,10.0,10.0
5981,10.0,10.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,9.0,9.0,11.0,11.0,8.0,8.0,12.0,12.0,9.0,9.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,13.0,13.0,6.0,6.0,7.0,7.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,12.0,12.0
5986,51.0,51.0,45.0,45.0,34.0,34.0,50.0,50.0,41.0,41.0,38.0,38.0,44.0,44.0,55.0,55.0,53.0,53.0,39.0,39.0,47.0,47.0,45.0,45.0,42.0,42.0,38.0,38.0,36.0,36.0,40.0,40.0,53.0,53.0,46.0,46.0,43.0,43.0,44.0,44.0,32.0,32.0,37.0,37.0,46.0,46.0,50.0,50.0
5987,44.0,44.0,42.0,42.0,24.0,24.0,43.0,43.0,38.0,38.0,27.0,27.0,42.0,42.0,47.0,47.0,38.0,38.0,30.0,30.0,38.0,38.0,40.0,40.0,39.0,39.0,28.0,28.0,32.0,32.0,32.0,32.0,52.0,52.0,37.0,37.0,38.0,38.0,33.0,33.0,31.0,31.0,31.0,31.0,38.0,38.0,37.0,37.0
5984,38.0,38.0,29.0,29.0,28.0,28.0,39.0,39.0,24.0,24.0,35.0,35.0,22.0,22.0,33.0,33.0,47.0,47.0,34.0,34.0,33.0,33.0,37.0,37.0,26.0,26.0,31.0,31.0,25.0,25.0,26.0,26.0,41.0,41.0,28.0,28.0,22.0,22.0,33.0,33.0,22.0,22.0,29.0,29.0,31.0,31.0,40.0,40.0
5985,51.0,51.0,42.0,42.0,34.0,34.0,50.0,50.0,35.0,35.0,42.0,42.0,36.0,36.0,46.0,46.0,57.0,57.0,40.0,40.0,47.0,47.0,46.0,46.0,37.0,37.0,36.0,36.0,35.0,35.0,35.0,35.0,51.0,51.0,40.0,40.0,36.0,36.0,44.0,44.0,32.0,32.0,35.0,35.0,41.0,41.0,46.0,46.0
